smiles,compound_set,template,hit1,hit2
Cn1nccc1C(=O)NC[C@@H]1CC[C@@]2(NCNN2)S1,cx0892a-cx0281a,cx0300a,cx0892a,cx0281a
Cn1cc(C(N)=O)c([C@@](C)(F)c2nc(Cn3ccccc3=O)no2)n1,cx0316a-cx0394a,cx0300a,cx0394a,cx0316a
N[C@]12CCC3=C1C(=CC=CN3)OC2,cx1372a-cx1305a,cx0300a,cx1372a,cx1305a
Nc1ccc2cccc3c2c1N(O)C=C3,cx1372a-cx0353a,cx0300a,cx1372a,cx0353a
NC(=O)[C@H]1C[C@@H](Cl)[C@]2(CC[C@@H](CO)C2)C[C@H]1N,cx1372a-cx0406a,cx0300a,cx1372a,cx0406a
Nc1cc2c[nH]nc2c2ccnc(O)c12,cx1372a-cx0756a,cx0300a,cx1372a,cx0756a
CCCc1ccc(N)c2c1c(C)nn2O,cx1372a-cx1417a,cx0300a,cx1372a,cx1417a
NC(=O)c1ccc(Cl)c2ccn(O)c12,cx1372a-cx1268a,cx0300a,cx1372a,cx1268a
CCc1ccc(N)c2c(O)cccc12,cx1372a-cx1379a,cx0300a,cx1372a,cx1379a
CN(Cc1cccc(=O)[nH]1)C(=O)c1cn[nH]c1,cx0732a-cx1135a,cx0300a,cx0732a,cx1135a
CN(C(=O)c1cn[nH]c1)[C@H]1C[C@H](O)NC[C@@H]1NC(=O)c1cscn1,cx0732a-cx0300a,cx0300a,cx0732a,cx0300a
CN(C(=O)c1cn[nH]c1)c1ccc(=O)n(CCO)c1,cx0732a-cx1091a,cx0300a,cx0732a,cx1091a
CCc1nc(Cn2cc(N(C)C(=O)c3cn[nH]c3)ccc2=O)no1,cx0732a-cx0316a,cx0300a,cx0732a,cx0316a
Cc1cc(CC[C@H](C)NC(N)=O)cc(N(C)NC=O)n1,cx0544a-cx1194a,cx0300a,cx0544a,cx1194a
CC(=O)Nc1cc(NC(N)=O)ccc1Br,cx0544a-cx1076a,cx0300a,cx0544a,cx1076a
NC(=O)Nc1cccc2c1OCc1nsc(N[C@@H]3CCC[C@H]3CO)c1-2,cx0544a-cx0406a,cx0300a,cx0544a,cx0406a
CC(=O)NC1=CC=C2C=C(C(N)=O)N=C21,cx0544a-cx0399a,cx0300a,cx0544a,cx0399a
NC(=O)Nc1cccc(NC(=O)CCc2nc(Cn3ccccc3=O)no2)c1,cx0544a-cx0316a,cx0300a,cx0544a,cx0316a
COC(=O)c1cc(N)nc2ccccc12,cx1338a-cx1278a,cx0300a,cx1338a,cx1278a
Nc1cc(CCO)c2ccccc2n1,cx1338a-cx0477a,cx0300a,cx1338a,cx0477a
