smiles,hit1_short,hit2_short,inchi_key,compound_set,error_type
OCCc1ncc2cncccc1-2,cx0477a,cx1402a,GKRAARLHUMXMJO-UHFFFAOYSA-N,cx0477a-cx1402a,NoSynthesisRoute
COCC(=O)NN1COc2ccc(-c3ccn[nH]3)cc21,cx0864a,cx0692a,RTAHAIAUMVJTBK-UHFFFAOYSA-N,cx0864a-cx0692a,NoSynthesisRoute
Nc1cc2c[nH]nc2c2ccnc(O)c12,cx1372a,cx0756a,PDJAWWUFDCOFLK-UHFFFAOYSA-N,cx1372a-cx0756a,NoSynthesisRoute
CCc1cc(C)c2c(n1)C(C)=NC2=O,cx1194a,cx1417a,DIRVEKCZPJVULX-UHFFFAOYSA-N,cx1194a-cx1417a,NoSynthesisRoute
NC(=O)c1ccc2c(c1)N[C@H]1CC=C[C@@H]1C2=O,cx0543a,cx0441a,IHQIPDSFIYHILS-WPRPVWTQSA-N,cx0441a-cx0543a,NoSynthesisRoute
CN[C@@]1(c2cnn(-c3ccccc3)c2)CNC(=O)CN1,cx0632a,cx1131a,WXVGLKDVPKLHKY-AWEZNQCLSA-N,cx0632a-cx1131a,NoSynthesisRoute
OCc1cc2c(cc1CNc1ccc(O)cc1)OCC2,cx0935a,cx0969b,UFKPYVZWYQIMHJ-UHFFFAOYSA-N,cx0935a-cx0969b,NoSynthesisRoute
NC(=O)C1=CC2=C[C@H]3CC=C[C@@H]3NN2C=C1,cx0760a,cx0441a,ICJREYJAEFVKGV-KCJUWKMLSA-N,cx0441a-cx0760a,NoSynthesisRoute
NC(=O)c1cnn(CC(O)(O)N[C@@H]2CCC(=O)NC2)c1,cx0477a,cx0300a,PLEPWHFYPQNIMI-MRVPVSSYSA-N,cx0477a-cx0300a,NoSynthesisRoute
C[N@+]([O-])(Nc1ccccn1)c1nccc2ccc(N)cc12,cx0289a,cx0353a,GAWNBWKCEBKKAU-HXUWFJFHSA-N,cx0353a-cx0289a,NoSynthesisRoute
COCC(=O)N[C@H]1CC[C@@H](O)C[C@]12CNCC[C@H]2c1n[nH]cc1C,cx0935a,cx0756a,HJVNYADATJAOPV-XJIUQZFPSA-N,cx0935a-cx0756a,NoSynthesisRoute
CNc1c(C#N)ccc(Cn2cnc3ccccc32)c1O,cx0620a,cx0398a,OWKLKRHPZVUBLO-UHFFFAOYSA-N,cx0620a-cx0398a,NoSynthesisRoute
CCc1ccc(N)c2c(O)cccc12,cx1372a,cx1379a,HVOAJNGPZJWKMT-UHFFFAOYSA-N,cx1372a-cx1379a,NoSynthesisRoute
